"","band","captureyear","month","birthyear","actualage","agegroup","CP","BP","loc","station","freq"
"273",152107383,1999,7,0,-1,"A",0,4,"CRAN","EABO",1
"274",152107385,1999,7,0,-1,"A",0,4,"CRAN","FIRS",1
"275",152107393,1999,8,1999,0,"J",0,0,"CRAN","WICE",1
"276",152107398,2000,6,0,-1,"A",2,0,"CRAN","SULP",1
"277",152107399,2000,6,0,-1,"A",0,2,"CRAN","SULP",1
"278",152125042,1996,8,1996,0,"J",NA,NA,"HOPE","FL--",1
"279",152125208,1997,7,0,-1,"A",2,NA,"HOPE","FL--",1
"280",153154305,1998,6,0,-1,"A",0,3,"JEFF","AR54",1
"281",153154309,1998,6,0,-1,"A",0,2,"JEFF","AR31",1
"282",153154310,1998,6,0,-1,"A",2,0,"JEFF","AR31",1
"283",153154318,1998,7,0,-1,"A",2,0,"JEFF","AR54",1
"284",153154318,2001,6,0,-1,"A",3,0,"JEFF","AR64",1
"285",153154320,1998,7,0,-1,"A",0,4,"JEFF","AR64",1
"286",153154322,1998,7,0,-1,"A",0,0,"JEFF","AR64",1
"287",153154335,1998,7,0,-1,"A",0,4,"JEFF","AR54",1
"288",153154349,1999,5,0,-1,"A",0,0,"JEFF","AR64",1
"289",153154361,1999,6,0,-1,"A",0,4,"JEFF","AR64",1
"290",153154362,1999,6,0,-1,"A",2,0,"JEFF","AR64",1
"291",153154363,1999,6,0,-1,"A",1,0,"JEFF","AR64",1
"292",153154363,1999,6,0,-1,"A",2,0,"JEFF","AR64",1
"293",153154363,2000,5,0,-1,"A",2,0,"JEFF","AR64",1
"294",153154366,1999,6,0,-1,"A",2,0,"JEFF","AR31",1
"295",153154367,1999,6,0,-1,"A",0,3,"JEFF","AR31",1
"296",153154368,1999,6,0,-1,"A",1,0,"JEFF","AR64",1
"297",153154369,1999,6,0,-1,"A",3,0,"JEFF","AR64",1
"298",153154372,1999,6,0,-1,"A",0,3,"JEFF","AR64",1
"299",153154380,1999,7,0,-1,"A",0,4,"JEFF","AR64",1
"300",153154381,1999,7,0,-1,"A",3,0,"JEFF","AR64",1
"301",153154386,1999,7,0,-1,"A",2,0,"JEFF","AR64",1
"302",153154388,1999,7,1999,0,"J",0,0,"JEFF","AR64",1
"303",153154393,1999,8,0,-1,"A",0,4,"JEFF","AR31",1
"304",153154395,1999,8,0,-1,"A",0,5,"JEFF","AR64",1
"305",153154396,2000,5,0,-1,"A",0,0,"JEFF","AR31",1
"306",153154396,2000,6,0,-1,"A",1,0,"JEFF","AR31",1
"307",153154396,2000,6,0,-1,"A",2,0,"JEFF","AR31",1
"308",153154396,2001,6,0,-1,"A",2,0,"JEFF","AR31",1
"309",153154420,1997,6,0,-1,"A",0,0,"KNOX","CEDA",1
"310",153154421,1997,6,0,-1,"A",0,4,"KNOX","CEDA",1
"311",153154425,1997,6,0,-1,"A",0,0,"KNOX","LDLA",1
"312",153154430,1997,6,0,-1,"A",0,0,"KNOX","CEDA",1
"313",153154431,1997,6,0,-1,"A",0,0,"KNOX","CEDA",1
"314",153154433,1997,6,0,-1,"A",0,0,"KNOX","CEDA",1
"315",153154442,1997,6,0,-1,"A",0,4,"KNOX","CEDA",1
"316",153154448,1997,7,0,-1,"A",1,0,"KNOX","CEDA",1
"317",153154464,1997,7,0,-1,"A",0,4,"KNOX","CEDA",1
"318",153154474,1998,5,0,-1,"A",3,0,"KNOX","DULA",1
"319",153154474,2001,5,0,-1,"A",2,NA,"KNOX","DULA",1
"320",153154475,1998,5,0,-1,"A",3,0,"KNOX","DULA",1
"321",153154476,1998,6,0,-1,"A",2,0,"KNOX","DULA",1
"322",153156044,1998,6,0,-1,"A",0,5,"RILE","ESDR",1
"323",153156519,1998,7,0,-1,"A",0,0,"BRAG","I104",1
"324",153157801,2000,6,0,-1,"A",2,0,"CRAN","EABO",1
"325",153157802,2000,6,0,-1,"A",0,3,"CRAN","EABO",1
"326",153157802,2000,6,0,-1,"A",0,4,"CRAN","EABO",1
"327",153157811,2000,6,0,-1,"A",1,0,"CRAN","SULP",1
"328",153157812,2000,6,0,-1,"A",1,0,"CRAN","WICE",1
"329",153157813,2000,6,2000,0,"J",0,0,"CRAN","WICE",1
"330",153157835,2000,7,0,-1,"A",3,0,"CRAN","EABO",1
"331",153157835,2002,6,0,-1,"A",1,0,"CRAN","EABO",1
"332",153157858,2001,6,0,-1,"A",0,2,"CRAN","FIRS",1
"333",153157863,2001,6,0,-1,"A",2,0,"CRAN","EABO",1
"334",153157864,2001,6,0,-1,"A",0,3,"CRAN","EABO",1
"335",153157885,2001,6,0,-1,"A",1,0,"CRAN","EABO",1
"336",153157885,2002,6,0,-1,"A",2,0,"CRAN","EABO",1
"337",153157898,2001,7,0,-1,"A",0,2,"CRAN","EABO",1
"338",153157900,2001,7,0,-1,"A",0,3,"CRAN","FIRS",1
"339",153158102,2000,6,0,-1,"A",NA,NA,"JEFF","AR31",1
"340",153158103,2000,6,0,-1,"A",0,3,"JEFF","AR31",1
"341",153158103,2000,7,0,-1,"A",0,3,"JEFF","AR31",1
"342",153158103,2000,7,0,-1,"A",0,4,"JEFF","AR31",1
"343",153158119,2000,6,0,-1,"A",0,0,"JEFF","AR31",1
"344",153158124,2000,6,0,-1,"A",0,0,"JEFF","AR64",1
"345",153158137,2000,6,0,-1,"A",2,0,"JEFF","AR31",1
"346",153158137,2000,7,0,-1,"A",2,0,"JEFF","AR31",1
"347",153158145,2000,7,0,-1,"A",2,0,"JEFF","AR64",1
"348",153158147,2000,7,0,-1,"A",0,4,"JEFF","AR31",1
"349",153158154,2000,5,0,-1,"A",2,0,"JEFF","AR64",1
"350",153158154,2000,7,0,-1,"A",1,0,"JEFF","AR64",1
"351",153158154,2001,6,0,-1,"A",2,0,"JEFF","AR64",1
"352",153158160,2000,7,0,-1,"A",0,4,"JEFF","AR54",1
"353",153158169,2001,5,0,-1,"A",3,0,"JEFF","AR64",1
"354",153158169,2002,5,0,-1,"A",0,0,"JEFF","AR64",1
"355",153158169,2002,5,0,-1,"A",1,0,"JEFF","AR64",1
"356",153158169,2002,6,0,-1,"A",2,0,"JEFF","AR64",1
"357",153158171,2001,5,0,-1,"A",3,0,"JEFF","AR64",1
"358",153158171,2001,6,0,-1,"A",2,0,"JEFF","AR64",1
"359",153158172,2001,5,0,-1,"A",0,1,"JEFF","AR31",1
"360",153158173,2001,5,0,-1,"A",0,3,"JEFF","AR31",1
"361",153158173,2002,6,0,-1,"A",0,2,"JEFF","AR31",1
"362",153158177,2001,6,0,-1,"A",0,4,"JEFF","AR64",1
"363",153158178,2001,6,0,-1,"A",2,0,"JEFF","AR64",1
"364",153158179,2001,6,0,-1,"A",0,4,"JEFF","AR64",1
"365",153158180,2001,6,0,-1,"A",0,3,"JEFF","AR31",1
"366",153158180,2001,6,0,-1,"A",0,4,"JEFF","AR31",1
"367",153158181,2001,6,0,-1,"A",1,0,"JEFF","AR31",1
"368",153158182,2001,6,0,-1,"A",2,0,"JEFF","AR31",1
"369",153158182,2001,6,0,-1,"A",3,0,"JEFF","AR31",1
"370",153158194,2001,6,0,-1,"A",0,1,"JEFF","AR31",1
"371",153158195,2001,6,0,-1,"A",0,2,"JEFF","AR54",1
"372",153158199,2001,6,0,-1,"A",2,0,"JEFF","AR64",1
"373",153158221,1999,6,0,-1,"A",0,4,"KNOX","DULA",1
"374",153158229,1999,6,0,-1,"A",2,0,"KNOX","CEDA",1
"375",153158265,2000,5,0,-1,"A",2,0,"KNOX","CEDA",1
"376",153158265,2000,6,0,-1,"A",1,0,"KNOX","CEDA",1
"377",153158266,2000,5,0,-1,"A",1,0,"KNOX","CEDA",1
"378",153158267,2000,5,0,-1,"A",1,0,"KNOX","DULA",1
"379",153158267,2001,5,0,-1,"A",2,0,"KNOX","DULA",1
"380",153158267,2002,6,0,-1,"A",0,0,"KNOX","DULA",1
"381",153158279,2000,5,0,-1,"A",0,0,"KNOX","OHRI",1
"382",153158282,2000,6,0,-1,"A",1,0,"KNOX","DULA",1
